-20.178,-46.062,28.347
-22.913,-45.733,27.891
-25.506,-44.995,29.053
-27.45,-43.757,28.933
-28.733,-41.495,28.092
-29.296,-38.773,28.977
-26.064,-44.071,30.731
-26.358,-44.682,34.454
-24.036,-44.768,35.117
-26.87,-42.793,35.265
-21.681,-45.567,30.218
-22.522,-45.32,29.884
-23.196,-44.768,29.982
-23.606,-44.264,30.626
-23.011,-44.741,30.736
-22.367,-45.254,30.638
-26.628,-41.824,30.65
-27.334,-41.427,30.079
-27.984,-40.812,30.055
-28.341,-40.065,30.458
-27.887,-40.665,30.801
-27.269,-41.246,30.805
-22.528,-44.531,37.465
-24.848,-44.276,36.786
-25.493,-43.888,37.071
-25.951,-43.191,36.855
-26.615,-41.04,37.659
-25.826,-43.029,38.757
-25.323,-43.806,38.824
-24.61,-44.263,38.711
